time,station,eis,schfall,tmax,tmin,tropen,schmax,t
1950-01-01 00:00:00+00:00,16400,14.0,11.0,9.0,-24.0,0.0,31.0,-5.5
1950-02-01 00:00:00+00:00,16400,5.0,1.0,14.0,-16.0,0.0,29.0,-0.3
1950-03-01 00:00:00+00:00,16400,0.0,1.0,21.0,-4.3,0.0,7.0,6.0
1950-04-01 00:00:00+00:00,16400,0.0,0.0,24.2,-5.0,0.0,0.0,8.6
1950-05-01 00:00:00+00:00,16400,0.0,0.0,30.0,1.0,1.0,0.0,15.5
1950-06-01 00:00:00+00:00,16400,0.0,0.0,36.0,7.0,5.0,0.0,19.1
1950-07-01 00:00:00+00:00,16400,0.0,0.0,38.0,11.0,10.0,0.0,21.3
1950-08-01 00:00:00+00:00,16400,0.0,0.0,35.0,6.0,7.0,0.0,19.4
1950-09-01 00:00:00+00:00,16400,0.0,0.0,31.0,2.0,2.0,0.0,14.6
1950-10-01 00:00:00+00:00,16400,0.0,0.0,20.0,-3.0,0.0,3.0,7.9
1950-11-01 00:00:00+00:00,16400,0.0,1.0,17.0,-5.0,0.0,2.0,3.5
1950-12-01 00:00:00+00:00,16400,4.0,7.0,13.0,-9.0,0.0,18.0,0.0
1951-01-01 00:00:00+00:00,16400,0.0,3.0,12.0,-10.0,0.0,12.0,-0.2
1951-02-01 00:00:00+00:00,16400,1.0,4.0,15.0,-6.0,0.0,10.0,1.7
1951-03-01 00:00:00+00:00,16400,0.0,5.0,19.0,-6.0,0.0,17.0,3.5
1951-04-01 00:00:00+00:00,16400,0.0,0.0,22.0,-4.0,0.0,0.0,8.9
1951-05-01 00:00:00+00:00,16400,0.0,0.0,27.0,2.0,0.0,0.0,13.4
1951-06-01 00:00:00+00:00,16400,0.0,0.0,29.0,5.0,0.0,0.0,17.4
1951-07-01 00:00:00+00:00,16400,0.0,0.0,28.0,7.0,0.0,0.0,18.4
1951-08-01 00:00:00+00:00,16400,0.0,0.0,31.0,7.0,4.0,0.0,19.1
1951-09-01 00:00:00+00:00,16400,0.0,0.0,30.0,2.0,1.0,0.0,16.3
1951-10-01 00:00:00+00:00,16400,0.0,0.0,17.0,-4.0,0.0,0.0,7.6
1951-11-01 00:00:00+00:00,16400,0.0,0.0,18.0,-5.0,0.0,0.0,6.0
1951-12-01 00:00:00+00:00,16400,5.0,0.0,10.0,-8.0,0.0,8.0,-0.3
1952-01-01 00:00:00+00:00,16400,6.0,8.0,7.0,-22.0,0.0,35.0,-3.4
1952-02-01 00:00:00+00:00,16400,3.0,5.0,9.0,-20.0,0.0,80.0,-3.0
1952-03-01 00:00:00+00:00,16400,1.0,3.0,20.0,-20.0,0.0,20.0,0.9
1952-04-01 00:00:00+00:00,16400,0.0,0.0,25.0,-5.0,0.0,0.0,11.6
1952-05-01 00:00:00+00:00,16400,0.0,0.0,27.0,-2.0,0.0,0.0,13.5
1952-06-01 00:00:00+00:00,16400,0.0,0.0,30.0,6.0,2.0,0.0,17.6
1952-07-01 00:00:00+00:00,16400,0.0,0.0,34.0,8.0,9.0,0.0,20.3
1952-08-01 00:00:00+00:00,16400,0.0,0.0,36.0,8.0,9.0,0.0,19.8
1952-09-01 00:00:00+00:00,16400,0.0,0.0,27.0,-2.0,0.0,0.0,11.8
1952-10-01 00:00:00+00:00,16400,0.0,0.0,24.0,-4.0,0.0,0.0,8.0
1952-11-01 00:00:00+00:00,16400,0.0,4.0,12.0,-7.0,0.0,2.0,1.9
1952-12-01 00:00:00+00:00,16400,8.0,7.0,6.0,-15.0,0.0,9.0,-2.0
1953-01-01 00:00:00+00:00,16400,8.0,7.0,9.0,-20.0,0.0,13.0,-3.0
1953-02-01 00:00:00+00:00,16400,3.0,5.0,16.0,-16.0,0.0,8.0,-0.8
1953-03-01 00:00:00+00:00,16400,0.0,1.0,22.0,-9.0,0.0,3.0,4.0
1953-04-01 00:00:00+00:00,16400,0.0,0.0,22.0,-2.0,0.0,0.0,9.7
1953-05-01 00:00:00+00:00,16400,0.0,0.0,29.2,-5.0,0.0,0.0,13.6
1953-06-01 00:00:00+00:00,16400,0.0,0.0,28.0,2.0,0.0,0.0,17.4
1953-07-01 00:00:00+00:00,16400,0.0,0.0,32.0,7.0,1.0,0.0,19.3
1953-08-01 00:00:00+00:00,16400,0.0,0.0,29.0,4.0,0.0,0.0,17.0
1953-09-01 00:00:00+00:00,16400,0.0,0.0,28.0,1.0,0.0,0.0,15.3
1953-10-01 00:00:00+00:00,16400,0.0,0.0,25.0,-4.0,0.0,0.0,10.9
1953-11-01 00:00:00+00:00,16400,0.0,0.0,13.0,-11.0,0.0,0.0,2.0
1953-12-01 00:00:00+00:00,16400,11.0,3.0,13.0,-11.0,0.0,5.0,-0.9
1954-01-01 00:00:00+00:00,16400,21.0,10.0,4.2,-23.0,0.0,37.0,-7.4
1954-02-01 00:00:00+00:00,16400,16.0,7.0,11.0,-22.0,0.0,47.0,-6.2
1954-03-01 00:00:00+00:00,16400,0.0,0.0,18.0,-5.0,0.0,14.0,4.9
1954-04-01 00:00:00+00:00,16400,0.0,0.0,20.0,-5.0,0.0,0.0,7.6
1954-05-01 00:00:00+00:00,16400,0.0,0.0,26.0,0.0,0.0,0.0,12.9
1954-06-01 00:00:00+00:00,16400,0.0,0.0,29.0,6.0,0.0,0.0,18.2
1954-07-01 00:00:00+00:00,16400,0.0,0.0,29.0,6.0,0.0,0.0,16.5
1954-09-01 00:00:00+00:00,16400,0.0,0.0,29.0,0.0,0.0,0.0,14.7
1954-10-01 00:00:00+00:00,16400,0.0,0.0,22.0,-3.0,0.0,0.0,8.1
1954-11-01 00:00:00+00:00,16400,2.0,0.0,16.0,-10.0,0.0,0.0,2.2
1954-12-01 00:00:00+00:00,16400,0.0,2.0,15.0,-7.0,0.0,11.0,2.0
1955-01-01 00:00:00+00:00,16400,17.0,5.0,6.0,-19.0,0.0,8.0,-2.6
1955-02-01 00:00:00+00:00,16400,6.0,6.0,12.0,-14.0,0.0,38.0,-1.1
1955-03-01 00:00:00+00:00,16400,3.0,7.0,23.0,-21.0,0.0,56.0,0.5
1955-04-01 00:00:00+00:00,16400,0.0,1.0,25.1,-5.0,0.0,0.0,7.5
1955-05-01 00:00:00+00:00,16400,0.0,0.0,28.0,0.0,0.0,0.0,12.4
1955-06-01 00:00:00+00:00,16400,0.0,0.0,29.0,1.0,0.0,0.0,15.9
1955-07-01 00:00:00+00:00,16400,0.0,0.0,29.3,6.0,0.0,0.0,18.6
1955-08-01 00:00:00+00:00,16400,0.0,0.0,26.0,8.0,0.0,0.0,17.1
1955-10-01 00:00:00+00:00,16400,0.0,0.0,20.0,-6.0,0.0,0.0,8.3
1955-11-01 00:00:00+00:00,16400,0.0,1.0,10.1,-9.0,0.0,0.0,2.5
1955-12-01 00:00:00+00:00,16400,2.0,5.0,15.0,-7.0,0.0,12.0,-0.2
1956-01-01 00:00:00+00:00,16400,4.0,4.0,11.0,-12.2,0.0,3.0,-1.2
1956-02-01 00:00:00+00:00,16400,23.0,10.0,8.0,-27.0,0.0,37.0,-8.9
